date,Bacterial Blight/Telya,Anthracnose,Fruit Spot/Rot,Fusarium Wilt,Fruit Borer/Blight Blora
2021-04-01,0.0,0.0,0.0,0.0,0.0
2021-04-16,0.0,0.0,0.0,0.0,0.0
2021-05-01,0.0,0.0,0.0,0.0,0.0
2021-05-16,93.33,0.0,0.0,0.0,0.0
2021-05-31,100.0,86.67,0.0,0.0,0.0
2021-06-15,60.0,60.0,0.0,0.0,0.0
2021-06-30,0.0,0.0,20.0,0.0,40.0
2021-07-15,0.0,0.0,100.0,0.0,100.0
2021-07-30,0.0,0.0,100.0,0.0,100.0
2021-08-14,0.0,0.0,100.0,0.0,100.0
2021-08-29,0.0,0.0,100.0,0.0,100.0
2021-09-13,0.0,0.0,13.33,0.0,33.33
